Title,Date,Body,Type
Eπιχείρησε να βιάσει και σκότωσε τη μητέρα του γιατί...,2013-05-04,"Ένα 13χρονο αγόρι από την Άιοβα των ΗΠΑ επιχείρησε να βιάσει, και τελικά δολοφόνησε τη μητέρα του μέσα στο σπίτι τους, επειδή εκείνη του πήρε το αγαπημένο του ηλεκτρονικό παιχνίδι!Ο Νόα Κρουκς κατηγορείται πλέον με δολοφονία πρώτου βαθμού, καθώς και για απόπειρα βιασμού της 37χρονης μητέρας του, Γκρέτσεν Κρουκς. Ο έφηβος, ο οποίος οδηγήθηκε στο δικαστήριο, είχε καλέσει την άμεση δράση, αμέσως μετά το έγκλημα που διέπραξε, με τους ένορκους να ακούνε το παρακάτω φρικιαστικό τηλεφώνημα στο δικαστήριο: «Δεν κάνω πλάκα. Είναι νεκρή. Φοβάμαι. Σκότωσα τη μητέρα μου με το πιστόλι μου. Δεν ξέρω γιατί το έκανα». Όπως μεταδίδει η The Global Gazette, κατά τη διάρκεια της δεκάλεπτης κλήσης του 13χρονου στην άμεση δράση, εκείνος ομολόγησε πολλές φορές στο έγκλημα που είχε διαπράξει. «Νιώθω τρελός και ξέρω πως δεν είμαι. Νομίζω ότι έχω κάποια μορφή διαταραχής. Προσπάθησα να τη βιάσω. Προσπάθησα να τη βιάσω αλλά δεν τα κατάφερα. Ποιος προσπαθεί να βιάσει την ίδια του τη μητέρα; Η ζωή μου έχει τελειώσει πλέον». Ενώ η τηλεφωνήτρια έστειλε αμέσως ένα ασθενοφόρο στο σπίτι του Κρουκς, εκείνος συνέχισε, λέγοντας ότι το όπλο του είναι άδειο και πως φοβάται ότι οι αστυνομικοί θα τον πυροβολήσουν: «Το μόνο που εύχομαι είναι να ονειρεύομαι και να μπορούσα να ξυπνήσω και να την αγκαλιάσω και να την φιλήσω» έλεγε κλαίγοντας το νεαρό αγόρι στο τηλέφωνο. Ο Νόα είπε ότι η μητέρα του είχε ετοιμάσει σπιτικά ντόνατς λίγες ώρες πριν, και πως δεν μπορεί να πιστέψει τί της έκανε: «Μου πήρε το Call of Duty επειδή είχα κακούς βαθμούς στο σχολείο και τότε ήταν που τρελάθηκα. Κάτι με κατέλαβε» είπε στην τηλεφωνήτρια. Το παιδί στη συνέχεια μονολογούσε, λέγοντας πως θα πήγαινε στη φυλακή και πως δεν θα κατάφερνε να πάει στο κολέγιο και να παντρευτεί την κοπέλα που αγαπούσε από το δημοτικό. Όπως ανέφερε στο δικαστήριο ο κατήγορος, η μητέρα του εφήβου βρέθηκε ξαπλωμένη στον καναπέ του σαλονιού, ημίγυμνη από τη μέση και κάτω, με το νεαρό αγόρι να είναι καθισμένο σε μία γωνία και να κλαίει.",ΔΟΛΟΦΟΝΙΑ
Θρίλερ στη Ρόδο με το πτώμα φοιτήτριας – Ποιος την ήθελε νεκρή;,2018-12-01,"Σε εξέλιξη βρίσκονται από τις αρμόδιες υπηρεσίες οι έρευνες για την υπόθεση με το πτώμα νεαρής φοιτήτριας που εντοπίστηκε στη θαλάσσια περιοχή «Φώκια», στους Πεύκους της Λίνδου. Σύμφωνα με αρχικές εκτιμήσεις των αρμόδιων αρχών, ο θάνατος της 21χρονης φοιτήτριας από το Διδυμότειχο οφείλεται σε εγκληματική ενέργεια, καθώς δεν υπάρχουν οι οποιεσδήποτε ενδείξεις για ατύχημα ή αυτοχειρία. Αυτό προκύπτει και από την ιατροδικαστική εξέταση, το πόρισμα της οποίας παραδόθηκε στις διωκτικές αρχές του νησιού. Τα όποια σημαντικά στοιχεία έχουν ανακύψει από αυτό, τα εξετάζει το Κεντρικό Λιμεναρχείο Ρόδου το οποίο και διενεργεί τη σχετική προανάκριση για τη διαλεύκανση της υπόθεσης. Η άτυχη 21χρονη φοιτήτρια σπούδαζε στο Πανεπιστήμιο Αιγαίου στη Ρόδο, ενώ η αναγνώρισή της έγινε από το τατουάζ που έφερε στη γάμπα του δεξιού της ποδιού, ένα τριαντάφυλλο σε χρώμα μαύρο και κόκκινο. Συγγενείς της έφθασαν μάλιστα στο νησί και επιβεβαίωσαν επίσημα την ταυτότητά της. Συγκλονισμένοι οι γονείς, αλλά και οι συγγενείς της άτυχης κοπέλας αδυνατούν να πιστέψουν αυτό που έχει συμβεί στο παιδί τους και ζητούν απαντήσεις.",ΔΟΛΟΦΟΝΙΑ
Θρίλερ  με νεκρή φοιτήτρια στη Ρόδο – Άγριο έγκλημα «βλέπει» η ΕΛ.ΑΣ.,2018-12-02,"Τη βρήκαν γυμνή στα βράχια - Τα σημάδια στο λαιμό της παραπέμπουν σε στραγγαλισμό – Εν αναμονή της άρσης τηλεφωνικού απορρήτουΣε εξέλιξη είναι από το μεσημέρι του Σαββάτου έρευνες του ειδικού κλιμάκιου του Τμήματος Ανθρωποκτονιών του Λιμενικού Σώματος στη Ρόδο, για τον θάνατο της 21χρονης φοιτήτριας του Τμήματος μεσογειακών Σπουδών του Πανεπιστήμιου Αιγαίου. Χθες, Σάββατο (02/12), ο πατέρας της νεαρής κοπέλας μετέβη στο νεκροτομείο για την αναγνώριση της σορού, ενώ η ολοκλήρωση της ιατροδικαστικής πραγματογνωμοσύνης αναμένεται, όπως και η διενέργεια των τοξικολογικών εξετάσεων. Οι αξιωματικοί που έχουν επιληφθεί των ερευνών είναι ανήσυχοι, καθώς ορισμένα σημάδια στον λαιμό της 21χρονης παραπέμπουν σε απόπειρα στραγγαλισμού, αν και επίσημη εκδοχή του θανάτου της κάνει λόγο για πνιγμό. Σε έρευνα που διεξήχθη με τη συνδρομή αστυνομικών της Υποδιεύθυνσης Ασφαλείας Ρόδου στο σπίτι της νεαρής, δεν προέκυψαν στοιχεία που μπορούν να δώσουν απαντήσεις σε πληθώρα ερωτημάτων, ενώ κομβικής σημασίας για την πορεία των ερευνών είναι η άρση του απορρήτου των τηλεφωνημάτων της, που έχει ήδη παραγγελθεί. Όσον αφορά το κινητό της τηλέφωνο, παρά το γεγονός πως ο θάνατος της κοπέλας προσδιορίζεται μέχρι και 48 ώρες πριν την ανεύρεση της σορού (σ. σ. το πρωί της 28ης Νοεμβρίου), την Παρασκευή φαινόνταν online στο Facebook μέσω της συσκευής. Επιπλέον, τα ρούχα της δεν έχουν βρεθεί, όπως και κάποια άλλα προσωπικά της αντικείμενα. Βασικό στοιχείο για την ταυτοποίησή της ήταν το τατουάζ - τριαντάφυλλο στο πόδι που ανέφεραν τα μέσα μαζικής ενημέρωσης και κίνησε υποψίες σε δύο συμμαθητές της 21χρονης, οι οποίο ήξεραν πως η φίλη τους είχε ένα τέτοιο, στο δεξί της πόδι. Από σήμερα, Κυριακή, σύμφωνα με την Dimokratiki. gr, ξεκινά νέος κύκλος ανακρίσεων και καταθέσεων όλων όσων γνώριζαν το άτυχο θύμα, με κρισιμότερο για τις έρευνες σημείο αυτό της ανεύρεσης και της ανάκρισης ατόμων που είχε επαφή η 21χρονη ως τις 27 Νοεμβρίου. Εξετάζεται επιπλέον και το ενδεχόμενο δεύτερης ιατροδικαστικής εξέτασης από τεχνικό σύμβουλο της οικογενείας.",ΔΟΛΟΦΟΝΙΑ
Στα Καλάβρυτα τη Δευτέρα ο Αλέξης Τσίπρας,2018-12-02,"Τον Αγροτικό και Γαλακτοκομικό Συνεταιρισμό Καλαβρύτων θα επισκεφθεί αύριο, Δευτέρα, ο πρωθυπουργός, Αλέξης Τσίπρας, και στη συνέχεια θα έχει σύσκεψη με το προεδρείο του Συνεταιρισμού. Σύμφωνα με ανακοίνωση από το Γραφείο Τύπου του Πρωθυπουργού, στις 14:15 ο κ. Τσίπρας θα πραγματοποιήσει ομιλία σε κτηνοτρόφους, μέλη του συνεταιρισμού. Τέλος, ο πρωθυπουργός θα έχει συνάντηση με τον Δήμαρχο Καλαβρύτων, Γιώργο Λαζουρά.",ΔΟΛΟΦΟΝΙΑ
Θρίλερ στη Ρόδο: Βίντεο αποκαλύπτει την αλήθεια – Τρεις προσαγωγές για το θάνατο της φοιτήτριας,2018-12-02,"Με γοργούς ρυθμούς, όπως φανερώνουν τα νέα στοιχεία, τρέχουν οι εξελίξεις γύρω από το θάνατο της 21χρονης φοιτήτριας Ελένης που βρέθηκε νεκρή σε βραχώδη περιοχή στη Ρόδο. Πολύ κοντά στην εξιχνίαση της υπόθεσης του θανάτου της 21χρονης φοιτήτριας στη Ρόδο, βρίσκονται οι αξιωματικοί του Λιμενικού Σώματος. Σύμφωνα με πληροφορίες του τοπικού Μέσου rodiaki, στο ανακριτικό γραφείο της Λιμενικής Αστυνομίας, προσήχθησαν τρία άτομα, που εκτιμάται ότι γνώριζαν τη φοιτήτρια και μίλησαν μαζί της στο τηλέφωνο το τελευταίο χρονικό διάστημα. Όπως μετέδωσε ο Alpha, στα χέρια των Αρχών βρίσκεται και ένα βίντεο ντοκουμέντο από κάμερα ασφαλείας καταστήματος. Σε αυτό φαίνεται η άτυχη φοιτήτρια να μπαίνει σε ένα αυτοκίνητο που οδηγούσε άντρας και να απομακρύνονται. Η καταγραφή γίνεται την περασμένη Τρίτη, το τελευταίο βράδυ της ζωής της. Η άτυχη 21χρονη Ελένη βρέθηκε νεκρή την επόμενη μέρα, στα βράχια απόκρημνης παραλίας. Ανείπωτος ο πόνος της οικογένειας της φοιτήτριας από τoν Έβρο, οι γονείς της άτυχης Ελένης παρά τον πόνο τους καταβάλλουν κάθε δυνατή προκειμένου να εντοπιστεί ο άνθρωπος ή οι άνθρωποι που στέρησαν τη ζωή στον άγγελο τους. Ειδικό κλιμάκιο του τμήματος ανθρωποκτονιών του Λιμενικού Σώματος, που έφτασε στη Ρόδο εσπευσμένα από την Αθήνα, συνδράμει από χθες τις έρευνες των ανακριτικών υπαλλήλων του Τμήματος Ασφαλείας του Κεντρικού Λιμεναρχείου Ρόδου για την πλήρη εξιχνίαση των συνθηκών κάτω από τις οποίες βρήκε φρικτό θάνατο η 21χρονη φοιτήτρια του Tμήματος Μεσογειακών Σπουδών του Πανεπιστημίου Αιγαίου, Ελένη Τ. , κόρη αντιδημάρχου του Δήμου Διδυμότειχου. Προερχόμενη από οικογένεια δασκάλων, ιδιαίτερα αγαπητών στον νομό Έβρου, το νεαρό κορίτσι «χάθηκε» χωρίς να γνωρίζει κανείς - ακόμη και στενή φίλη της - πού και με ποιον είχε βρεθεί πριν φύγει από τη ζωή. Μια πολλά υποσχόμενη φοιτήτρια, που μάλιστα το καλοκαίρι έκανε την πρακτική της εξάσκηση στο Υπουργείο Εξωτερικών, έφυγε από την ζωή και σύμφωνα με τα τελευταία στοιχεία o θάνατός της αποδίδεται σε εγκληματική ενέργεια. Βασικό στοιχείο για την ταυτοποίηση της κοπέλας, ήταν το τατουάζ σε σχήμα τριαντάφυλλου που είχε στο πόδι. Το απόγευμα της Παρασκευής δύο συμφοιτήτριές της - κι αφού είχε υποβληθεί δήλωση εξαφάνισης από τους γονείς της - μετέβησαν στο Κεντρικό Λιμεναρχείο Ρόδου και επιβεβαίωσαν το μοιραίο. Θορυβημένοι είναι οι αξιωματικοί που έχουν επιληφθεί των ερευνών από τα σημάδια που φέρει στο λαιμό της και παραπέμπουν σε απόπειρα στραγγαλισμού. Η σορός της 21χρονης Ελένης εντοπίστηκε τις προηγούμενες ημέρες στη θαλάσσια περιοχή «Φώκια», στους Πεύκους της Λίνδου. Σύμφωνα με το ρεπορτάζ της εφημερίδας «Δημοκρατική», το κινητό τηλέφωνο της άτυχης κοπέλας - αν και ο θάνατός της προσδιορίζεται μέχρι και 48 ώρες πριν την ανεύρεση του άψυχου σώματός της, το πρωί της 28ης Νοεμβρίου - έδειχνε να είναι online στο Facebook μέχρι και την Παρασκευή (30/11). Τονίζεται ακόμη ότι δεν έχουν βρεθεί τα ρούχα της ως και άλλα προσωπικά της αντικείμενα πέριξ της παραλίας, ενώ ένα μεγάλο ερωτηματικό για τις Aρχές είναι γιατί βρέθηκε στο συγκεκριμένο σημείο, το οποίο είναι δύσβατο και προσεγγίζεται συνήθως από ψαράδες. Πιθανολογείται ότι είτε βρισκόταν με κάποιον άγνωστο με τον οποίο είχε συνάψει εφήμερη σχέση ο οποίος «ξεφορτώθηκε» το πτώμα της στο σημείο αυτό, είτε είχε μεταβεί στο σημείο εκείνο και συνέβη το αποτρόπαιο έγκλημα. Από σήμερα ξεκινά ένας νέος κύκλος ανακρίσεων και καταθέσεων όσων την γνώριζαν με κρισιμότερο για τις έρευνες σημείο την ανεύρεση και την λήψη κατάθεσης από τα άτομα με τα οποία είχε επαφή την 27η Νοεμβρίου. Υπενθυμίζεται ότι, αν και το πτώμα της βρέθηκε γυμνό, φορώντας έναν μωβ στηθόδεσμο, δεν προέκυψαν ίχνη βιασμού, ενώ τραύματα που φέρει κυρίως στο πρόσωπο αποδίδονται επί του παρόντος σε πτώση στα βράχια καθώς το σώμα της παρασυρόταν από τα κύματα. Αρμοδίως εξετάζεται εξάλλου αν θα διενεργηθεί και δεύτερη ιατροδικαστική εξέταση από τεχνικό σύμβουλο της οικογένειας. Σοκάρουν οι ύβρεις στο προφίλ της στο FacebookΤην ώρα που το τμήμα Ανθρωποκτονιών εξετάζει σχολαστικά όλα τα στοιχεία της υπόθεσης, κάποιοι χρήστες του Facebook βεβηλώνουν την μνήμη της, πιθανότατα με ψεύτικο προφίλ, βρίζοντας χυδαία την άτυχη κοπέλα. Μάλιστα, οι αναρτήσεις αυτών των διαστροφικών χρηστών, έχουν να κάνουν με ρατσιστικά σχόλια προς το πρόσωπό της. Για το περιστατικό χρειάζεται η άμεση επέμβαση της Δίωξης Ηλεκτρονικού Εγκλήματος. Δείτε στη gallery φωτογραφίες",ΔΟΛΟΦΟΝΙΑ
